Stichtag;ID;Kreis;männlich;weiblich;Insgesamt
31.12.2019;08235;Calw, Landkreis;79850;79351;159201
31.12.2019;08236;Enzkreis;99072;100484;199556
31.12.2019;08237;Freudenstadt, Landkreis;59082;59161;118243
31.12.2019;08311;Freiburg im Breisgau, kreisfreie Stadt;110333;120862;231195
31.12.2019;08315;Breisgau-Hochschwarzwald, Landkreis;129954;133647;263601
31.12.2019;08316;Emmendingen, Landkreis;82244;84164;166408
31.12.2019;08317;Ortenaukreis;214820;216133;430953
31.12.2019;08325;Rottweil, Landkreis;70004;69874;139878
31.12.2019;08326;Schwarzwald-Baar-Kreis;105394;107112;212506
31.12.2019;08327;Tuttlingen, Landkreis;70847;69919;140766
31.12.2019;08335;Konstanz, Landkreis;139337;146968;286305
31.12.2019;08336;Lörrach, Landkreis;112047;116689;228736
31.12.2019;08337;Waldshut, Landkreis;84828;86175;171003
31.12.2019;08415;Reutlingen, Landkreis;142281;144753;287034
31.12.2019;08416;Tübingen, Landkreis;111504;117174;228678
31.12.2019;08417;Zollernalbkreis;93921;95442;189363
31.12.2019;08421;Ulm, kreisfreie Stadt;62913;63877;126790
31.12.2019;08425;Alb-Donau-Kreis;99480;97596;197076
31.12.2019;08426;Biberach, Landkreis;101390;99892;201282
31.12.2019;08435;Bodenseekreis;107252;110218;217470
31.12.2019;08436;Ravensburg, Landkreis;142334;143090;285424
31.12.2019;08437;Sigmaringen, Landkreis;65573;65276;130849
31.12.2019;09161;Ingolstadt, kreisfreie Stadt;69471;67921;137392
31.12.2019;09162;München, kreisfreie Stadt;723663;760563;1484226
31.12.2019;09163;Rosenheim, kreisfreie Stadt;31357;32194;63551
31.12.2019;09171;Altötting, Landkreis;55205;56311;111516
31.12.2019;09172;Berchtesgadener Land, Landkreis;52153;53776;105929
31.12.2019;09173;Bad Tölz-Wolfratshausen, Landkreis;63164;64753;127917
31.12.2019;09174;Dachau, Landkreis;77524;77375;154899
31.12.2019;09175;Ebersberg, Landkreis;71806;71843;143649
31.12.2019;09176;Eichstätt, Landkreis;67518;65363;132881
31.12.2019;09177;Erding, Landkreis;69629;68553;138182
31.12.2019;09178;Freising, Landkreis;92107;87900;180007
31.12.2019;09179;Fürstenfeldbruck, Landkreis;107802;111509;219311
31.12.2019;09180;Garmisch-Partenkirchen, Landkreis;42916;45508;88424
31.12.2019;09181;Landsberg am Lech, Landkreis;60066;60236;120302
31.12.2019;09182;Miesbach, Landkreis;48999;51011;100010
31.12.2019;09183;Mühldorf am Inn, Landkreis;58718;57154;115872
31.12.2019;09184;München, Landkreis;174436;176037;350473
31.12.2019;09185;Neuburg-Schrobenhausen, Landkreis;48931;48372;97303
31.12.2019;09186;Pfaffenhofen an der Ilm, Landkreis;65167;63060;128227
31.12.2019;09187;Rosenheim, Landkreis;129399;131931;261330
31.12.2019;09188;Starnberg, Landkreis;66265;70402;136667
31.12.2019;09189;Traunstein, Landkreis;87614;89705;177319
31.12.2019;09190;Weilheim-Schongau, Landkreis;67242;68236;135478
31.12.2019;09261;Landshut, kreisfreie Stadt;35952;37459;73411
31.12.2019;09262;Passau, kreisfreie Stadt;25613;27190;52803
31.12.2019;09263;Straubing, kreisfreie Stadt;24088;23703;47791
31.12.2019;09271;Deggendorf, Landkreis;59650;59828;119478
31.12.2019;09272;Freyung-Grafenau, Landkreis;39063;39299;78362
31.12.2019;09273;Kelheim, Landkreis;62512;60546;123058
31.12.2019;09274;Landshut, Landkreis;80913;78982;159895
